ES_Count_dO,ES_Sum_aaN,ES_Sum_dO,Num_AliphaticDoubleBonds,LogD,QED_HBD,ALogP98,QED_HBA,Molecular_Solubility,QED_ALERTS,ES_Count_dssC,QED_AROM,ES_Sum_sF,ES_Sum_sCH3,ES_Sum_ssNH,Num_H_Donors,O_Count,ES_Sum_ssO,ES_Sum_aaaC,Num_AromaticBonds,SAscore_Complexity,ES_Count_ddssS,ES_Sum_dsN,ES_Count_sOH,QED_PSA,HBD_Count,HBA_Count,Num_H_Acceptors,ES_Count_ssNH,ES_Count_dsN,Num_StereoBonds,ES_Count_aaN,Molecular_PolarSASA,ES_Sum_ddssS,ES_Count_ssS,ES_Sum_sNH2,QED_ROTB,ES_Sum_dssC,ES_Count_sCH3,S_Count,Num_H_Acceptors_Lipinski,ES_Sum_aasC,Molecular_FractionalPolarSurfaceArea,Molecular_FractionalPolarSASA,ES_Sum_ssssC,Apol,Molecular_PolarSurfaceArea,lnROS,quality
0,3.992,0,0,2.799,0.98659,2.799,0.93048,-2.631,0.84246,0,0.93773,0,1.962,0,1,1,0,1.935,11,0.140529,0,0,1,0.86885,1,1,2,0,0,0,1,66.3785,0,0,0,0.39503,0,1,0,2,1.142,0.197,0.201,0,7115.42,33.12,2.176091259,1
0,0,0,1,1.433,0.98659,1.436,0.88651,-1.233,0.63972,1,0.82734,0,0,0,1,0,0,0,6,0.326592,0,4.406,0,0.96099,1,1,4,0,1,1,0,102.055,0,1,5.737,0.39503,1.125,0,1,3,3.32,0.371,0.289,0,8353.52,66.92,1.423245874,1
0,0,0,0,1.546,0.98659,2.18,0.93048,-2.48,0.84246,0,0.93773,0,5.83,0,1,1,5.224,2.398,10,0.149605,0,0,0,0.78782,1,1,2,0,0,0,0,39.128,0,0,0,0.99269,0,3,0,3,2.204,0.117,0.097,0,8488.28,28.26,2.054995862,1
0,4.076,0,0,2.388,0.98659,2.172,0.23327,-3.289,0.84246,0,0.25672,0,0,0,1,0,0,4.777,15,0.211068,0,0,0,0.79558,1,1,1,0,0,0,1,52.1978,0,0,0,0.39503,0,0,0,2,0,0.173,0.155,0,7891.04,28.68,1.574031268,1
0,0,0,0,2.215,0.98659,1.853,0.93048,-1.698,0.84246,0,0.82734,0,0,0,1,1,0,0,6,0.149605,0,0,1,0.69082,1,0,2,0,0,0,0,47.278,0,0,0,0.87038,0,0,0,2,1.334,0.093,0.116,0,7740.36,23.47,2.180412633,1
0,0,0,0,1.011,0.98659,2.386,0.93048,-2.481,0.84246,0,0.82734,0,4.345,3.368,1,0,0,0,6,0.030993,0,0,0,0.50512,1,0,2,1,0,0,0,26.8638,0,0,0,0.63709,0,2,0,2,4.138,0.068,0.067,0,7828.84,15.27,1.544068044,1
0,11.4,0,0,1.105,0.98659,1.13,0.9848,-1.493,0.84246,0,0.93773,0,0,0,1,1,0,0,11,0.0250041,0,0,1,0.99885,1,2,3,0,0,0,3,94.8298,0,0,0,0.63709,0,0,0,4,0.839,0.308,0.281,0,6727.76,50.94,2.091666958,1
1,4.166,11.375,2,0.904,0.98659,0.907,0.9848,-2.209,0.84246,1,0.82734,0,3.767,2.527,1,1,0,0,6,0.14349,0,3.997,0,0.99959,1,3,3,1,1,1,1,81.994,0,0,0,0.39503,-0.13,2,0,4,2.883,0.291,0.233,0,7035.72,54.35,1.956648579,1
2,7.582,21.666,2,-0.817,0.98659,1.425,0.88651,-2.051,0.63972,0,0.93773,0,1.29,0,1,3,0,0.849,10,0.146518,1,0,1,0.86934,0,1,4,0,0,0,2,146.905,-4.355,0,0,0.63709,0,1,1,5,-0.585,0.402,0.4,0,8626.94,80.57,1.942008053,1
1,0,11.815,1,2.913,0.98659,3.1,0.9848,-3.913,0.24139,1,0.82734,0,1.818,0,1,2,5.061,0,5,0.15275,0,0,0,0.86942,1,2,3,0,0,0,0,144.867,0,0,5.92,0.99269,-0.251,1,1,3,3.713,0.321,0.327,0,9564.86,80.56,5.233350259,2
